"Month,First_Expression,Review,Rating,Bert_sentiment,distilbert_sentiment"
"""Oct, 2022"",Best in the market!,Best phone available at this price point.Camera is comparable with entry level DSLR(marvellous dynamic range)The performance is unmatchable.Shifted to iOS after 10 years of premium android smartphones.Go for it without any second thought.,5,5,Positive"
"""Oct, 2022"",Perfect product!,Pros-rear Camera is awesome.double speaker sound equal loud and base is superb display superb. Design also good.Battery back up superb.Cons-front camera is good not awesomeAfter switching from android you feel one minus point is the display notch .,5,5,Positive"
"""Jun, 2022"",Brilliant,I switch to ios from android after 10 years so this review might help for migratorsIt’s been a month using the iPhone13 and this was my experience1. Design - its simple and no nonsense design . Expect white and pink rest of the colours are fingerprint magnets. I have seen all the colours and I highly recommend the pink . It’s so light pink which makes it not girlish. See it for yourself it really looks so premium in light pink colour.For rest of it except white the aluminium frame wil...,5,5,Positive"
"""Sep, 2022"",Classy product,This is awosome .. camera is best . Here some photos i m sharing with you guys ..,5,5,Positive"
"""Oct, 2022"",Perfect product!,""Awesome battery backup amazing camera, a all day batter backup improved and brilliant IOs 16.1 oled display dolby speakers and lot more, just close your eyes and go for it. One of the best handy smartphones ever and in great discount given by flipkart in big billion days 🔥"",5,5,Positive"
"""Feb, 2022"",Perfect product!,Love this phone..... 😍,5,5,Positive"
"""Oct, 2022"",Nice product,Best phone for day to day use and photography/videography.,4,5,Positive"
"""Oct, 2022"",Must buy!,Awesome phoneExcellent camera quality,5,5,Positive"
"""Nov, 2021"",Terrific,Happy to have this phone,5,5,Positive"
"""Jan, 2023"",Super!,""My dream phone Iam waiting after 10 years bought these phone. Fully happy phone performance display camera etc awesmome,selfie camera focus to alpple company. Main camera performance awesome,display, Sound quality Dolby atoms,charging also very improved.overall super 🥰"",5,5,Positive"
"""Jan, 2023"",Terrific purchase,""Amazing phone with improved performance, good battery backup and stunning camera clearity. If you are looking for a power pack phone then just go for it. :)"",5,5,Positive"
"""Oct, 2022"",Excellent,Too good,5,5,Positive"
